bizid,Aid_Section,중위소득,homeless_Whether,school_year _system,1인가구 여부,신혼부부,농업인,소상공인,차상위계층,기초생활 및 생계급여
R2022031100134,-,-,-,-,-,-,-,-,-,-
R2022031100135,-,000~100,-,-,-,-,-,-,1,-
R2022031100136,-,-,-,-,-,-,-,-,-,-
R2022031100137,-,-,-,-,-,-,-,-,-,-
R2022031100138,-,-,-,-,-,-,-,-,-,-
R2022031100139,-,-,-,-,-,-,-,-,-,-
R2022031100140,-,-,-,-,-,-,-,-,-,-
R2022031100141,-,-,-,-,-,-,-,-,-,-
R2022031100142,-,-,-,-,-,-,-,-,-,-
R2022031100143,-,-,-,-,-,-,-,-,-,-
R2022031100144,-,-,-,-,-,-,-,-,-,-
R2022031100145,-,-,-,-,-,-,-,-,-,-
R2022031100146,-,-,-,-,-,-,-,-,-,-
R2022031100147,-,-,-,-,-,-,-,-,-,-
R2022031100148,-,-,-,-,-,-,-,-,-,-
R2022031100149,-,-,-,-,-,-,-,-,-,-
R2022031100150,-,-,-,-,-,-,-,-,-,-
R2022031100151,-,-,-,-,-,-,-,-,-,-
R2022031100152,-,-,-,-,-,-,-,-,-,-
R2022031100153,-,-,-,-,-,-,-,-,-,-
R2022031100154,-,-,-,-,-,-,-,-,-,-
R2022031100155,-,-,-,-,-,-,-,-,-,-
R2022031100156,-,-,-,-,-,-,-,-,-,-
R2022031100157,-,-,-,-,-,-,-,-,-,-
R2022031100158,-,-,-,-,-,-,-,-,-,-
R2022031100159,-,-,-,-,-,-,-,-,-,-
R2022031100160,-,-,-,-,-,-,-,-,-,-
R2022031100161,-,-,-,-,-,-,-,-,-,-
R2022031100162,-,-,-,-,-,-,-,-,-,-
R2022031100163,-,-,-,-,-,-,-,-,-,-
R2022031100164,-,-,-,-,-,-,-,-,-,-
R2022031100165,-,-,-,-,-,-,-,-,-,-
R2022031100166,-,-,-,-,-,-,-,-,-,-
R2022031100167,-,-,-,-,-,-,-,-,-,-
R2022031100168,-,-,-,-,-,-,-,1,-,-
R2022031100169,-,-,-,-,-,-,-,-,1,1
R2022031100170,-,-,-,-,-,-,-,-,-,-
R2022031100171,-,-,-,-,-,-,-,-,-,-
R2022031100172,-,-,-,-,1,-,-,-,-,-
R2022031100173,-,-,-,-,-,-,-,-,-,-
R2022031100174,-,-,-,-,-,-,-,-,-,-
R2022031100175,-,-,-,-,-,-,-,-,-,-
R2022031100176,-,-,-,-,-,-,-,-,-,-
R2022031100177,-,-,-,-,-,-,-,-,-,-
R2022031100178,-,-,-,-,-,-,-,-,-,-
R2022031100179,-,-,-,-,-,-,-,-,-,-
R2022031100180,-,-,-,-,-,-,-,-,-,-
R2022031100181,-,-,-,-,-,-,-,-,-,-
R2022031100182,-,-,-,-,-,-,-,-,1,-
R2022031100183,-,-,-,-,-,-,-,-,-,-
R2022031100184,-,-,-,-,-,-,-,-,-,-
